,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
80774,80774,US,"Bone dry and very acidic, almost sour, with watery flavors of orange and lemon cough drop candy. Gains a few points for elegance and cleanliness.",Air,84,18.0,California,Napa Valley,Napa,Rosé,Loomis
80933,80933,US,"A good, dry rosé, as a blush should be, with raspberry, herb, vanilla and spice flavors, backed up with fine acidity. Perfect for salty smoked meats. Serve as an appetizer with ham, sausages, bacon-flavored tapas.",Arriviste,88,24.0,California,Napa Valley,Napa,Rosé,Blackbird Vineyards
81532,81532,US,"This blend of Cab Sauvignon, Merlot and Cab Franc is a little heavy for a rosé. It's rich in cherry, currant and spice flavors. Could almost substitute for a red wine.",Arriviste,86,25.0,California,Napa Valley,Napa,Rosé,Blackbird Vineyards
82088,82088,US,"With a dark color and full body, this isn't very subtle. It's almost a red wine in itself, shows raspberry, strawberry and vanilla flavors that are sweet on the finish.",Rosé of Syrah,84,25.0,California,Napa Valley,Napa,Rosé,Peju
82343,82343,US,"A perfect summer blush wine. Made in the style of the southern Rhône, it's rich in strawberry, raspberry, rosehip tea, vanilla and spice flavors, brightened with zesty acidity. Just delicious with smoked meats, tempura, ahi tuna tartare.",Rosato,90,21.0,California,Napa Valley,Napa,Rosé,Swanson
82450,82450,US,"A blend of Syrah and Grenache, this may be the most expensive rosé in California. It's a good wine, dry and crisp, although rather full-bodied for a rosé, with pleasantly complex orange zest, strawberry, vanilla, herb and spice flavors. Nice now with cured meats and sausages, or a rich fish stew.",,87,75.0,California,Napa Valley,Napa,Rosé,Prêt a Boire
88297,88297,US,"Good acidity and juicy cherry flavors in this blush wine. But it's a little too sweet in extracted fruit, and palls after a sip or two. Drink now.",Rose of Syrah,85,25.0,California,Napa Valley,Napa,Rosé,Peju
90707,90707,US,"Hendry has been doing interesting things in lesser-known niches, including rosé, and this one, an unusual blend of all five Bordeaux red varieties plus Primitivo, is worth considering. It's nicely dry and crisp, with flavors of cherries, tobacco, herbs, flowers and vanilla. Very Provençal.",,89,13.0,California,Napa Valley,Napa,Rosé,Hendry
94592,94592,US,"To call this rosé deep is an understatement. In color and body, it's almost a red wine. But it does have the silky delicacy of a blush wine, and is frankly delicious in cherry jam, red licorice and Dr. Pepper flavors. It finishes thoroughly dry, and the acidity is racy.",Deep Rosé of Cabernet Sauvignon,89,20.0,California,Napa Valley,Napa,Rosé,Isabel Mondavi
96750,96750,US,"Simple and a little sugary, this Syrah, Pinot Noir and Zinfandel blend has pop flavors of raspberries, cherries, vanilla and cola.",,82,18.0,California,Napa Valley,Napa,Rosé,Elizabeth Rose
97273,97273,US,"Pretty dark for a rosé and full-bodied, with cherry, red plum and spicy vanilla flavors. Could almost double for a red.",,84,18.0,California,Napa Valley,Napa,Rosé,Elizabeth Rose
101113,101113,US,"A nice rosé wine, if a little dark in color and full-bodied. It's very dry and crisp and clean, with suggestions of cherries, rose petals, vanilla and cinnamon spice.",Hendry Ranch,87,13.0,California,Napa Valley,Napa,Rosé,Hendry
105944,105944,US,"Too dark and heavy for a blush wine, with jammy flavors of cherries, vanilla and spices. Lacks lightness and intricacy.",Pinot Noir,82,20.0,California,Napa Valley,Napa,Rosé,Elkhorn Peak
106474,106474,US,"Frankly sweet, with raspberry and cherry vanilla flavors that are marred with a scent of feline emission.",,81,16.0,California,Napa Valley,Napa,Rosé,Elizabeth Rose
113435,113435,US,"Made from Cab Sauvignon and Zin, this is pretty full-bodied for a rosé, with jammy raspberry and cherry pie filling and spice flavors. It's basically dry, with a honeyed finish.",,84,13.0,California,Napa Valley,Napa,Rosé,Hendry
118874,118874,US,"Too dark and heavy for a blush wine, with jammy flavors of cherries, vanilla and spices. Lacks lightness and intricacy.",Pinot Noir,82,20.0,California,Napa Valley,Napa,Rosé,Elkhorn Peak
119382,119382,US,"This is a Syrah. It's fruity and jammy, showing cherry and orange flavors, and there's a cut of green gooseberry, like you find in some Sauvignon Blancs, that is not pleasant.",Sandpiper,82,20.0,California,Napa Valley,Napa,Rosé,Porter Family Vineyards
119612,119612,US,"Made from Merlot, this blush is a bit on the heavy, fruity side. It has vanilla and caramel-infused flavors of cherry pie filling and spices that finish sweet and spicy.",Flirtation,84,35.0,California,Napa Valley,Napa,Rosé,O'Brien
120343,120343,US,"Pretty dark for a rosé and full-bodied, with cherry, red plum and spicy vanilla flavors. Could almost double for a red.",,84,18.0,California,Napa Valley,Napa,Rosé,Elizabeth Rose
126043,126043,US,"A nice rosé wine, if a little dark in color and full-bodied. It's very dry and crisp and clean, with suggestions of cherries, rose petals, vanilla and cinnamon spice.",Hendry Ranch,87,13.0,California,Napa Valley,Napa,Rosé,Hendry
127331,127331,US,"Sweet and simple, with candied flavors of raspberries, cherries and vanilla sugar cookie.",,82,20.0,California,Napa Valley,Napa,Rosé,Rutherford Hill
127340,127340,US,"The label doesn't tell us what the grapes in the blend are, but it doesn't really matter, because this rosé is pretty ordinary. It's dark and heavy and syrupy, with candied flavors of raspberries and vanilla.",Lot #3,82,13.0,California,Napa Valley,Napa,Rosé,Tangley Oaks
131374,131374,US,"Frankly sweet, with raspberry and cherry vanilla flavors that are marred with a scent of feline emission.",,81,16.0,California,Napa Valley,Napa,Rosé,Elizabeth Rose
138976,138976,US,"A little simple and easy, but there's a wealth of raspberry, strawberry and floral notes in this delicate wine. It's a bit too sweet for my tastes, although it does have good acidity.",Rose of Merlot,84,19.0,California,Napa Valley,Napa,Rosé,Rutherford Hill
139676,139676,US,"Like a Beaujolais Nouveau, this is a lively, grapey wine, with fresh-from-the-fermenter flavors of raspberries, red cherries, cinnamon and pepper.",La Grenouille Rouganté,85,14.0,California,Napa Valley,Napa,Rosé,Frog's Leap
140547,140547,US,"This is one of the drier blush wines out there, with an interesting melange of herb, apple, peach and tobacco flavors. Try it with bruschetta, grilled veggies or a nice grilled salmon steak.",,84,13.0,California,Napa Valley,Napa,Rosé,I'M
142625,142625,US,"Made from Cab Sauvignon and Zin, this is pretty full-bodied for a rosé, with jammy raspberry and cherry pie filling and spice flavors. It's basically dry, with a honeyed finish.",,84,13.0,California,Napa Valley,Napa,Rosé,Hendry
